PRIMARY_PROGRAM_CODE,PROGRAM_CAMPUS_CODE,PROGRAM_CREDENTIAL_CODE,PROGRAM_CREDENTIAL_NAME,PROGRAM_LONG_NAME,SCHOOL_CODE,CLUSTER_LONG_NAME
9111,HPC,OCCT,Ontario College Certificate,Personal Support Worker,CH,SCHS-PRACTICAL NURSING AND PSW
2870,PRO,OCGC,Ontario College Graduate Cert,Paralegal,BU,BUS-LEGAL AND ADMIN STUDIES
9320,PRO,OCDP,Ontario College Diploma,Fitness and Health Promotion,CH,SCHS-HEALTH AND WELLNESS STUDIES
2003,OLP,OCDP,Ontario College Diploma,Office Administration - Health Services,BU,BUS-LEGAL AND ADMIN STUDIES
2001,OLP,OCCT,Ontario College Certificate,Office Administration - General,BU,BUS-LEGAL AND ADMIN STUDIES
3823,PRO,OCAD,Ontario College Adv. Diploma,Electrical Engineering Technology,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
2865,PRO,OCGC,Ontario College Graduate Cert,Marketing - Research and Analytics,BU,BUS-MARKETING&ENTREPRENEURSHIP
5850,HPC,OCDP,Ontario College Diploma,Pharmacy Technician,CH,SCHS-HEALTH AND WELLNESS STUDIES
2801,PRO,OCDP,Ontario College Diploma,Business - Accounting,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
1808,PRO,OCDP,Ontario College Diploma,Food and Beverage Management,HT,SHTCA-HOSPITALITY MANAGEMENT
9251,HPC,OCGC,Ontario College Graduate Cert,Bridging to University Nursing,CH,SCHS-REGISTERED  NURSING PROGRAMS
1813,PRO,OCDP,Ontario College Diploma,Baking and Pastry Arts Management,HT,SHTCA-FOOD AND TOURISM STUDIES
2825,PRO,OCGC,Ontario College Graduate Cert,Marketing Management,BU,BUS-MARKETING&ENTREPRENEURSHIP
3622,HPC,OCAD,Ontario College Adv. Diploma,Biotechnology Advanced,ST,SETAS-APPL BIO & ENVIRN SCIENCE
3632,HPC,OCAD,Ontario College Adv. Diploma,Biotechnology Advanced,ST,SETAS-APPL BIO & ENVIRN SCIENCE
1202,PRO,OCDP,Ontario College Diploma,Recreation and Leisure Services,CH,SCHS-CHILD STUDIES
6410,CCC,OCGC,Ontario College Graduate Cert,Interactive Media Management,CA,"CMAD-COMM, MEDIA & DESIGN"
8112,DAC,OCDP,Ontario College Diploma,Aviation Technician - Aircraft Maintenance,TR,SOT-AVIATION
1250,PRO,OCDP,Ontario College Diploma,Police Foundations,CH,SCHS-EMERG MGT AND PUBLIC SAFETY
2328,OLP,OCGC,Ontario College Graduate Cert,Project Management,BU,BUS-BUSINESS & MANAGEMENT STUDIES
1839,OLP,OCDP,Ontario College Diploma,Event Planning,HT,SHTCA-HOSPITALITY MANAGEMENT
3468,OLP,OCDP,Ontario College Diploma,Software Engineering Technician,ST,SETAS-INFORM & COMMUNICATION TECH
3831,PRO,OCCT,Ontario College Certificate,Electrical Techniques,ST,SETAS-AD MANUFCT & AUTO TECH (AMAT)
2470,PRO,OCCT,Ontario College Certificate,Court Support Services,BU,BUS-LEGAL AND ADMIN STUDIES
1260,PRO,OCCT,Ontario College Certificate,Pre-Service Firefighter Education and Training,CH,SCHS-EMERG MGT AND PUBLIC SAFETY
1205,PRO,OCAD,Ontario College Adv. Diploma,Child and Youth Care,CH,SCHS-CHILD STUDIES
6815,ASH,OCCT,Ontario College Certificate,Pre-Health Sciences Pathway to Certificates and Diplomas,AS,SELS-SCHOOL OF ENG.&LIBERAL STUDIES
2435,PRO,OCAD,Ontario College Adv. Diploma,Business Administration - Accounting,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
1831,PRO,OCGC,Ontario College Graduate Cert,Event Management,HT,SHTCA-HOSPITALITY MANAGEMENT
1235,ASH,OCDP,Ontario College Diploma,Addiction and Mental Health Worker,CH,SCHS-COMMUNITY SERVICES
1221,PRO,OCDP,Ontario College Diploma,Early Childhood Education,CH,SCHS-CHILD STUDIES
3506,HPC,OCCT,Ontario College Certificate,Medical Laboratory Technician,ST,SETAS-APPL BIO & ENVIRN SCIENCE
9351,HPC,OCDP,Ontario College Diploma,Practical Nursing,CH,SCHS-PRACTICAL NURSING AND PSW
2843,PRO,OCGC,Ontario College Graduate Cert,Financial Planning,BU,BUS-ACCOUNTING & FINANCIAL SERVICES
